"sessionid","computerid","bf1","bf2","bf3","bf4","bf5","bf6","bf7","bf8","bf9","bf10","bf11","bf12","bf13","bf14","bf15","bf16","bf17","bf18","bf19","bf20","bf21","bf22","bf23","bf24","bf25","bf26","bf27","bf28","bf29","bf30","bf31","bf32","bf33","bf34","bf35","bf36","bf37","bf38","bf39","bf40","bf41","bf42","bf43","bf44","o1"
"GYOVF",20,1,5,5,5,5,2,5,1,5,5,5,1,5,5,5,5,5,1,1,5,5,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,4,5,1,4,1
"GYOVF",21,4,2,4,3,5,2,4,2,4,4,4,1,4,2,4,2,4,2,2,2,2,4,2,4,4,4,3,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,2,2,2
"GYOVF",22,4,2,4,2,2,3,4,4,5,2,4,1,4,1,2,1,4,2,1,2,2,4,1,4,3,3,1,4,3,1,5,4,4,5,4,4,1,4,1,1,1,4,1,1,1
"GYOVF",23,4,1,5,1,5,4,5,2,2,5,4,1,5,4,5,4,5,1,1,5,4,5,1,5,5,4,3,5,5,4,4,5,5,5,3,4,1,5,1,5,2,4,1,2,5
"GYOVF",24,4,1,5,1,5,1,5,1,5,5,5,1,5,1,5,5,5,1,5,5,5,4,1,5,5,5,4,4,4,5,1,5,5,4,5,5,1,5,1,5,2,5,1,4,1
"GYOVF",25,4,2,5,1,4,5,5,2,2,5,5,1,5,5,4,4,5,1,2,4,4,5,1,4,4,5,1,5,5,5,5,5,5,5,4,4,2,4,1,5,5,5,1,5,1
"GYOVF",26,5,1,4,5,5,4,5,1,4,4,5,1,5,4,5,4,5,1,1,4,2,5,1,5,5,5,1,5,1,5,1,5,5,1,5,5,1,5,1,5,2,5,1,5,4
"GYOVF",27,2,3,5,1,3,1,4,5,5,4,3,4,5,5,3,4,4,3,5,5,4,5,2,5,4,3,3,5,5,3,5,4,4,5,5,4,5,3,4,5,3,5,4,2,1
"GYOVF",28,1,2,5,1,5,1,5,1,1,1,2,1,5,2,5,4,4,1,1,2,2,5,1,1,5,5,2,5,4,4,1,5,5,4,4,2,1,5,1,4,4,5,1,1,1
"GYOVF",29,2,1,5,1,1,5,1,1,5,5,5,1,1,1,5,1,5,1,1,5,1,5,1,5,1,1,5,1,1,5,5,5,5,1,5,1,1,5,1,5,5,5,5,5,1
"GYOVF",30,4,1,2,2,5,5,5,1,4,4,5,1,5,,5,4,4,2,4,5,4,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,1,4,5
